,0
customer_past_returns,0.2480535609061535
customer_account_age_days,0.17348254559998236
customer_return_rate,0.1054198325555101
refund_ratio,0.08754276153999792
order_value_inr,0.08128578640660092
refund_amount_inr,0.07898126759854439
item_returned_matches_order,0.050470466985731884
previous_fraud_flag,0.03662058694359527
high_value_high_returner,0.028213688173263023
discount_percent,0.02311046838813678
customer_total_orders,0.014056811042672939
false_non_delivery,0.01331419863896518
discount_abuse_flag,0.011081001689361854
claimed_non_delivery,0.0082584899697934
support_contacts_pre_return,0.007849200612239897
days_to_return_request,0.006625779185508731
pre_return_support_flag,0.005775787449209555
item_condition_enc,0.004864424070066591
same_address_accounts,0.004186280201438781
return_pickup_successful,0.003133194402843584
return_pickup_attempted,0.001511698877178737
multi_account_flag,0.0014627929675360772
new_account_flag,0.0007466606019522113
return_request_weekday,0.0007395559392136528
return_after_weekend,0.0006837096142522623
return_reason_enc,0.0005639429514617575
delivery_confirmed,0.000562834529904476
pickup_failed_flag,0.00027574400407273935
weekend_return_flag,0.0002529742978102005
return_window_days,0.0001568525833929091
cat_electronics,0.00014048607028278577
cat_footwear,0.0001299024923704864
discount_applied,0.0001270888748315969
within_return_window,0.00011736654742662809
cat_clothing,9.974396222556764e-05
cat_accessories,6.843912458946047e-05
cat_home_decor,3.4074201881816487e-05
